CVE ID,Description,Severity,Attack Complexity,Attack Vector,CWE ID,References,Attack Type,Mitigation Strategy
CVE-2017-7272,"PHP through 7.1.11 enables potential SSRF in applications that accept an fsockopen or pfsockopen hostname argument with an expectation that the port number is constrained. Because a :port syntax is recognized, fsockopen will use the port number that is specified in the hostname argument, instead of the port number in the second argument of the function.",N/A,N/A,N/A,CWE-918,"http://www.securityfocus.com/bid/97178, http://www.securitytracker.com/id/1038158, https://bugs.php.net/bug.php?id=74216, https://bugs.php.net/bug.php?id=75505, https://github.com/php/php-src/commit/bab0b99f376dac9170ac81382a5ed526938d595a, https://security.netapp.com/advisory/ntap-20180112-0001/, https://www.sec-consult.com/fxdata/seccons/prod/temedia/advisories_txt/20170403-0_PHP_Misbehavior_of_fsockopen_function_v10.txt, http://www.securityfocus.com/bid/97178, http://www.securitytracker.com/id/1038158, https://bugs.php.net/bug.php?id=74216, https://bugs.php.net/bug.php?id=75505, https://github.com/php/php-src/commit/bab0b99f376dac9170ac81382a5ed526938d595a, https://security.netapp.com/advisory/ntap-20180112-0001/, https://www.sec-consult.com/fxdata/seccons/prod/temedia/advisories_txt/20170403-0_PHP_Misbehavior_of_fsockopen_function_v10.txt",DNS Rebinding SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2017-7566,MyBB before 1.8.11 allows remote attackers to bypass an SSRF protection mechanism.,N/A,N/A,N/A,CWE-918,"http://www.securityfocus.com/bid/97480, https://blog.mybb.com/2017/04/04/mybb-1-8-11-merge-system-1-8-11-release/, https://github.com/mybb/mybb/commit/f5de8fc2aad11e0d2583f585535ccfa2b46325db#diff-7fe6e55397c77ab9a0f5d57bc4cbe5b9R6781, https://www.sec-consult.com/fxdata/seccons/prod/temedia/advisories_txt/20170407-0_MyBB_SSRF_vulnerability_v10.txt, http://www.securityfocus.com/bid/97480, https://blog.mybb.com/2017/04/04/mybb-1-8-11-merge-system-1-8-11-release/, https://github.com/mybb/mybb/commit/f5de8fc2aad11e0d2583f585535ccfa2b46325db#diff-7fe6e55397c77ab9a0f5d57bc4cbe5b9R6781, https://www.sec-consult.com/fxdata/seccons/prod/temedia/advisories_txt/20170407-0_MyBB_SSRF_vulnerability_v10.txt",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2017-7569,"In vBulletin before 5.3.0, remote attackers can bypass the CVE-2016-6483 patch and conduct SSRF attacks by leveraging the behavior of the PHP parse_url function, aka VBV-17037.",N/A,N/A,N/A,CWE-918,"https://www.vbulletin.com/forum/forum/vbulletin-announcements/vbulletin-announcements_aa/4367744-vbulletin-5-3-0-connect-is-now-available, https://www.vbulletin.com/forum/forum/vbulletin-announcements/vbulletin-announcements_aa/4367744-vbulletin-5-3-0-connect-is-now-available",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2017-8794,"An issue was discovered on Accellion FTA devices before FTA_9_12_180. Because a regular expression (intended to match local https URLs) lacks an initial ^ character, courier/web/1000@/wmProgressval.html allows SSRF attacks with a file:///etc/passwd#https:// URL pattern.",N/A,N/A,N/A,CWE-918,"https://gist.github.com/anonymous/32e2894fa29176f3f32cb2b2bb7c24cb, https://gist.github.com/anonymous/32e2894fa29176f3f32cb2b2bb7c24cb",Protocol Abuse SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2017-9066,"In WordPress before 4.7.5, there is insufficient redirect validation in the HTTP class, leading to SSRF.",N/A,N/A,N/A,CWE-918,"http://www.securityfocus.com/bid/98509, http://www.securitytracker.com/id/1038520, https://codex.wordpress.org/Version_4.7.5, https://github.com/WordPress/WordPress/commit/76d77e927bb4d0f87c7262a50e28d84e01fd2b11, https://twitter.com/skansing/status/865362551097393153, https://wordpress.org/news/2017/05/wordpress-4-7-5/, https://wpvulndb.com/vulnerabilities/8815, https://www.debian.org/security/2018/dsa-4090, http://www.securityfocus.com/bid/98509, http://www.securitytracker.com/id/1038520, https://codex.wordpress.org/Version_4.7.5, https://github.com/WordPress/WordPress/commit/76d77e927bb4d0f87c7262a50e28d84e01fd2b11, https://twitter.com/skansing/status/865362551097393153, https://wordpress.org/news/2017/05/wordpress-4-7-5/, https://wpvulndb.com/vulnerabilities/8815, https://www.debian.org/security/2018/dsa-4090",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2017-7503,"It was found that the Red Hat JBoss EAP 7.0.5 implementation of javax.xml.transform.TransformerFactory is vulnerable to XXE. An attacker could use this flaw to launch DoS or SSRF attacks, or read files from the server where EAP is deployed.",N/A,N/A,N/A,CWE-611,"http://www.securityfocus.com/bid/98546, https://bugzilla.redhat.com/show_bug.cgi?id=1451960, http://www.securityfocus.com/bid/98546, https://bugzilla.redhat.com/show_bug.cgi?id=1451960",External SSRF,Disable XML external entity (XXE) processing to prevent SSRF exploitation
CVE-2017-9307,SSRF vulnerability in remotedownload.php in Allen Disk 1.6 allows remote authenticated users to conduct port scans and access intranet servers via a crafted file parameter.,N/A,N/A,N/A,CWE-918,"https://github.com/s3131212/allendisk/issues/20, https://github.com/s3131212/allendisk/issues/20",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2017-10973,"In FineCMS before 2017-07-06, application/lib/ajax/get_image_data.php has SSRF, related to requests for non-image files with a modified HTTP Host header.",N/A,N/A,N/A,CWE-918,"https://github.com/andrzuk/FineCMS/pull/10, https://github.com/andrzuk/FineCMS/pull/11, https://github.com/andrzuk/FineCMS/pull/10, https://github.com/andrzuk/FineCMS/pull/11",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2017-14759,"OpenText Document Sciences xPression (formerly EMC Document Sciences xPression) v4.5SP1 Patch 13 (older versions might be affected as well) is prone to an XML External Entity vulnerability: /xFramework/services/QuickDoc.QuickDocHttpSoap11Endpoint/. An unauthenticated user is able to read directory listings or system files, or cause SSRF or Denial of Service.",N/A,N/A,N/A,CWE-611,"http://seclists.org/fulldisclosure/2017/Sep/97, https://knowledge.opentext.com/knowledge/llisapi.dll/Open/68982774, http://seclists.org/fulldisclosure/2017/Sep/97, https://knowledge.opentext.com/knowledge/llisapi.dll/Open/68982774",External SSRF,Disable XML external entity (XXE) processing to prevent SSRF exploitation
CVE-2017-15280,"XML external entity (XXE) vulnerability in Umbraco CMS before 7.7.3 allows attackers to obtain sensitive information by reading files on the server or sending TCP requests to intranet hosts (aka SSRF), related to Umbraco.Web/umbraco.presentation/umbraco/dialogs/importDocumenttype.aspx.cs.",N/A,N/A,N/A,CWE-611,"http://issues.umbraco.org/issue/U4-10506, https://github.com/umbraco/Umbraco-CMS/commit/5dde2efe0d2b3a47d17439e03acabb7ea2befb64, http://issues.umbraco.org/issue/U4-10506, https://github.com/umbraco/Umbraco-CMS/commit/5dde2efe0d2b3a47d17439e03acabb7ea2befb64",External SSRF,Disable XML external entity (XXE) processing to prevent SSRF exploitation
CVE-2017-15644,"SSRF exists in Webmin 1.850 via the PATH_INFO to tunnel/link.cgi, as demonstrated by a GET request for tunnel/link.cgi/http://INTRANET-IP:8000.",N/A,N/A,N/A,CWE-918,"http://www.webmin.com/changes.html, http://www.webmin.com/security.html, https://blogs.securiteam.com/index.php/archives/3430, https://github.com/webmin/webmin/commit/0c58892732ee7610a7abba5507614366d382c9c9, http://www.webmin.com/changes.html, http://www.webmin.com/security.html, https://blogs.securiteam.com/index.php/archives/3430, https://github.com/webmin/webmin/commit/0c58892732ee7610a7abba5507614366d382c9c9",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2017-16870,The UpdraftPlus plugin through 1.13.12 for WordPress has SSRF in the updraft_ajax_handler function in /wp-content/plugins/updraftplus/admin.php via an httpget subaction. NOTE: the vendor reports that this does not cross a privilege boundary,N/A,N/A,N/A,CWE-918,"https://github.com/LoRexxar/CVE_Request/tree/master/wordpress%20plugin%20updraftplus%20vulnerablity#authenticated-ssrf, https://github.com/LoRexxar/CVE_Request/tree/master/wordpress%20plugin%20updraftplus%20vulnerablity#authenticated-ssrf",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2017-4928,"The flash-based vSphere Web Client (6.0 prior to 6.0 U3c and 5.5 prior to 5.5 U3f) i.e. not the new HTML5-based vSphere Client, contains SSRF and CRLF injection issues due to improper neutralization of URLs. An attacker may exploit these issues by sending a POST request with modified headers towards internal services leading to information disclosure.",N/A,N/A,N/A,CWE-352,"http://www.securityfocus.com/bid/101785, http://www.securitytracker.com/id/1039759, https://www.vmware.com/security/advisories/VMSA-2017-0017.html, http://www.securityfocus.com/bid/101785, http://www.securitytracker.com/id/1039759, https://www.vmware.com/security/advisories/VMSA-2017-0017.html",Internal SSRF,"Implement CSRF protection, enforce SameSite cookies, and use CSRF tokens"
CVE-2017-1000190,"SimpleXML (latest version 2.7.1) is vulnerable to an XXE vulnerability resulting SSRF, information disclosure, DoS and so on.",N/A,N/A,N/A,CWE-611,"https://github.com/ngallagher/simplexml/issues/18, https://lists.apache.org/thread.html/708d94141126eac03011144a971a6411fcac16d9c248d1d535a39451%40%3Csolr-user.lucene.apache.org%3E, https://lists.apache.org/thread.html/8c4ef27e2c0218f29e785990dc919266855aea137c958f10d242cb36%40%3Cdev.lucene.apache.org%3E, https://lists.apache.org/thread.html/r204ba2a9ea750f38d789d2bb429cc0925ad6133deea7cbc3001d96b5%40%3Csolr-user.lucene.apache.org%3E, https://github.com/ngallagher/simplexml/issues/18, https://lists.apache.org/thread.html/708d94141126eac03011144a971a6411fcac16d9c248d1d535a39451%40%3Csolr-user.lucene.apache.org%3E, https://lists.apache.org/thread.html/8c4ef27e2c0218f29e785990dc919266855aea137c958f10d242cb36%40%3Cdev.lucene.apache.org%3E, https://lists.apache.org/thread.html/r204ba2a9ea750f38d789d2bb429cc0925ad6133deea7cbc3001d96b5%40%3Csolr-user.lucene.apache.org%3E",External SSRF,Disable XML external entity (XXE) processing to prevent SSRF exploitation
CVE-2017-17697,The Ping() function in ui/api/target.go in Harbor through 1.3.0-rc4 has SSRF via the endpoint parameter to /api/targets/ping.,HIGH,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N,CWE-918,"https://github.com/vmware/harbor/issues/3755, https://github.com/vmware/harbor/issues/3755",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2017-1000419,"phpBB version 3.2.0 is vulnerable to SSRF in the Remote Avatar function resulting allowing an attacker to perform port scanning, requesting internal content and potentially attacking such internal services via the web application.",N/A,N/A,N/A,CWE-918,"https://www.phpbb.com/community/viewtopic.php?f=14&p=14782136, https://www.sec-consult.com/en/blog/advisories/phpbb-server-side-request-forgery-vulnerability/index.html, https://www.phpbb.com/community/viewtopic.php?f=14&p=14782136, https://www.sec-consult.com/en/blog/advisories/phpbb-server-side-request-forgery-vulnerability/index.html",Internal SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2018-6186,"Citrix NetScaler VPX through NS12.0 53.13.nc allows an SSRF attack via the /rapi/read_url URI by an authenticated attacker who has a webapp account. The attacker can gain access to the nsroot account, and execute remote commands with root privileges.",N/A,N/A,N/A,CWE-918,"http://www.securityfocus.com/bid/102915, http://www.securitytracker.com/id/1040440, https://gist.github.com/buxu/04ce809eb8b32ef57e232eab5e61f023, https://support.citrix.com/article/CTX232161, http://www.securityfocus.com/bid/102915, http://www.securitytracker.com/id/1040440, https://gist.github.com/buxu/04ce809eb8b32ef57e232eab5e61f023, https://support.citrix.com/article/CTX232161",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2018-7055,GroupViewProxyServlet in RoomWizard before 4.4.x allows SSRF via the url parameter.,N/A,N/A,N/A,CWE-918,"http://misteralfa-hack.blogspot.cl/2018/02/steelcase-sala-por-favor-y-todos-tus.html, http://misteralfa-hack.blogspot.cl/2018/02/steelcase-sala-por-favor-y-todos-tus.html",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2018-7667,Adminer through 4.3.1 has SSRF via the server parameter.,N/A,N/A,N/A,CWE-918,"http://hyp3rlinx.altervista.org/advisories/ADMINER-UNAUTHENTICATED-SERVER-SIDE-REQUEST-FORGERY.txt, https://lists.debian.org/debian-lts-announce/2018/03/msg00014.html, http://hyp3rlinx.altervista.org/advisories/ADMINER-UNAUTHENTICATED-SERVER-SIDE-REQUEST-FORGERY.txt, https://lists.debian.org/debian-lts-announce/2018/03/msg00014.html",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2018-1000124,I Librarian I-librarian version 4.8 and earlier contains a XML External Entity (XXE) vulnerability in line 154 of importmetadata.php(simplexml_load_string) that can result in an attacker reading the contents of a file and SSRF. This attack appear to be exploitable via posting xml in the Parameter form_import_textarea.,N/A,N/A,N/A,CWE-611,"https://github.com/mkucej/i-librarian/issues/116, https://github.com/mkucej/i-librarian/issues/116",Internal SSRF,Disable XML external entity (XXE) processing to prevent SSRF exploitation
CVE-2018-1000138,"I, Librarian version 4.8 and earlier contains a SSRF vulnerability in ""url"" parameter of getFromWeb in functions.php that can result in the attacker abusing functionality on the server to read or update internal resources.",N/A,N/A,N/A,CWE-918,"https://github.com/mkucej/i-librarian/blob/9535753a84bc615b210802d4c9542db73368d984/functions.php#L811, https://github.com/mkucej/i-librarian/issues/120, https://github.com/mkucej/i-librarian/blob/9535753a84bc615b210802d4c9542db73368d984/functions.php#L811, https://github.com/mkucej/i-librarian/issues/120",Internal SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2017-16614,"SSRF (Server Side Request Forgery) in tpshop 2.0.5 and 2.0.6 allows remote attackers to obtain sensitive information, attack intranet hosts, or possibly trigger remote command execution via the plugins/payment/weixin/lib/WxPay.tedatac.php fBill parameter.",N/A,N/A,N/A,CWE-918,"http://seclists.org/fulldisclosure/2018/Mar/77, http://seclists.org/fulldisclosure/2018/Mar/77",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2017-14323,"SSRF (Server Side Request Forgery) in getRemoteImage.php in Ueditor in Onethink V1.0 and V1.1 allows remote attackers to obtain sensitive information, attack intranet hosts, or possibly trigger remote command execution via the upfile parameter.",N/A,N/A,N/A,CWE-918,"http://seclists.org/fulldisclosure/2018/Apr/16, http://seclists.org/fulldisclosure/2018/Apr/16",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2017-14611,"SSRF (Server Side Request Forgery) in Cockpit 0.13.0 allows remote attackers to read arbitrary files or send TCP traffic to intranet hosts via the url parameter, related to use of the discontinued aheinze/fetch_url_contents component.",N/A,N/A,N/A,CWE-918,"http://seclists.org/fulldisclosure/2018/Apr/15, http://seclists.org/fulldisclosure/2018/Apr/15",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2018-10220,"Glastopf 3.1.3-dev has SSRF, as demonstrated by the abc.php a parameter. NOTE: the vendor indicates that this is intentional behavior because the product is a web application honeypot, and modules/handlers/emulators/rfi.py supports Remote File Inclusion emulation",N/A,N/A,N/A,CWE-918,"https://github.com/mushorg/glastopf/issues/286, https://github.com/mushorg/glastopf/issues/286",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2018-10174,"Digital Guardian Management Console 7.1.2.0015 has an SSRF issue that allows remote attackers to read arbitrary files via file:// URLs, send TCP traffic to intranet hosts, or obtain an NTLM hash. This can occur even if the logged-in user has a read-only role.",N/A,N/A,N/A,CWE-918,"http://packetstormsecurity.com/files/147260/Digital-Guardian-Management-Console-7.1.2.0015-Server-Side-Request-Forgery.html, http://packetstormsecurity.com/files/147260/Digital-Guardian-Management-Console-7.1.2.0015-Server-Side-Request-Forgery.html",Protocol Abuse SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2018-8801,GitLab Community and Enterprise Editions version 8.3 up to 10.x before 10.3 are vulnerable to SSRF in the Services and webhooks component.,N/A,N/A,N/A,CWE-918,"https://gitlab.com/gitlab-org/gitlab-ce/blob/master/CHANGELOG.md, https://gitlab.com/gitlab-org/gitlab-ce/issues/41642, https://hackerone.com/reports/301924, https://gitlab.com/gitlab-org/gitlab-ce/blob/master/CHANGELOG.md, https://gitlab.com/gitlab-org/gitlab-ce/issues/41642, https://hackerone.com/reports/301924",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2018-8939,"An SSRF issue was discovered in NmAPI.exe in Ipswitch WhatsUp Gold before 2018 (18.0). Malicious actors can submit specially crafted requests via the NmAPI executable to (1) gain unauthorized access to the WhatsUp Gold system, (2) obtain information about the WhatsUp Gold system, or (3) execute remote commands.",N/A,N/A,N/A,CWE-918,"https://docs.ipswitch.com/NM/WhatsUpGold2018/01_ReleaseNotes/index.htm, https://docs.ipswitch.com/NM/WhatsUpGold2018/01_ReleaseNotes/index.htm",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2018-9302,"SSRF (Server Side Request Forgery) in /assets/lib/fuc.js.php in Cockpit 0.4.4 through 0.5.5 allows remote attackers to read arbitrary files or send TCP traffic to intranet hosts via the url parameter. NOTE: this vulnerability exists because of an incomplete fix for CVE-2017-14611, which was about version 0.13.0, which (surprisingly) is an earlier version than 0.4.4.",N/A,N/A,N/A,CWE-918,"http://seclists.org/fulldisclosure/2018/May/10, https://www.exploit-db.com/exploits/44567/, http://seclists.org/fulldisclosure/2018/May/10, https://www.exploit-db.com/exploits/44567/",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2018-9919,"A web-accessible backdoor, with resultant SSRF, exists in Tp-shop 2.0.5 through 2.0.8, which allows remote attackers to obtain sensitive information, attack intranet hosts, or possibly trigger remote command execution, because /vendor/phpdocumentor/reflection-docblock/tests/phpDocumentor/Reflection/DocBlock/Tag/LinkTagTeet.php writes data from the ""down_url"" URL into the ""bddlj"" local file if the attacker knows the backdoor ""jmmy"" parameter.",N/A,N/A,N/A,CWE-918,"http://seclists.org/fulldisclosure/2018/May/11, http://seclists.org/fulldisclosure/2018/May/11",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2018-11031,"application/home/controller/debug.php in PHPRAP 1.0.4 through 1.0.8 has SSRF via the /debug URI, as demonstrated by an api[url]=file:////etc/passwd&api[method]=get POST request.",N/A,N/A,N/A,CWE-918,"https://github.com/gouguoyin/phprap/issues/89, https://github.com/gouguoyin/phprap/issues/89",Protocol Abuse SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2018-12678,"Portainer before 1.18.0 supports unauthenticated requests to the websocket endpoint with an unvalidated id query parameter for the /websocket/exec endpoint, which allows remote attackers to bypass intended access restrictions or conduct SSRF attacks.",N/A,N/A,N/A,CWE-918,"https://github.com/portainer/portainer/pull/1979, https://github.com/portainer/portainer/releases/tag/1.18.0, https://github.com/portainer/portainer/pull/1979, https://github.com/portainer/portainer/releases/tag/1.18.0",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
