CVE ID,CWE ID,Attack Type,Mitigation Strategy
CVE-2020-16248,918,3,20
CVE-2020-13295,918,3,20
CVE-2020-8226,610,3,22
CVE-2020-24548,918,3,20
CVE-2020-24898,918,3,20
CVE-2020-12644,918,3,20
CVE-2020-13309,918,0,20
CVE-2020-14029,611,3,0
CVE-2020-16171,918,4,20
CVE-2020-14023,918,3,20
CVE-2020-15594,918,3,20
CVE-2020-24570,352,3,8
CVE-2020-7739,918,3,20
CVE-2020-7740,20,3,10
CVE-2020-26948,918,3,20
CVE-2020-27197,918,3,20
CVE-2020-15822,918,3,20
CVE-2020-7749,74,3,21
CVE-2020-25820,918,3,20
CVE-2020-15002,918,3,20
CVE-2020-25466,918,3,20
CVE-2020-24710,918,3,20
CVE-2020-24881,918,3,20
CVE-2020-28043,918,3,20
CVE-2020-24063,918,3,20
CVE-2020-27624,918,3,20
CVE-2020-27626,918,3,20
CVE-2020-28360,918,3,20
CVE-2020-28976,918,4,20
CVE-2020-28977,918,4,20
CVE-2020-28978,918,4,20
CVE-2020-17513,918,3,20
CVE-2020-35712,918,3,20
CVE-2020-26032,918,3,20
CVE-2020-35850,918,3,20
CVE-2020-26247,611,3,0
CVE-2020-28735,918,3,20
CVE-2020-26291,20,2,10
CVE-2020-24700,918,3,20
CVE-2021-23927,918,3,20
CVE-2020-23776,918,3,20
CVE-2020-35667,918,3,20
CVE-2021-21288,918,4,20
CVE-2020-35558,918,3,20
CVE-2020-35561,918,3,20
CVE-2021-27103,918,3,20
CVE-2020-28463,918,4,20
CVE-2021-27329,918,2,20
CVE-2020-10252,918,0,20
CVE-2021-3204,918,3,20
CVE-2021-21973,918,1,20
CVE-2021-27670,918,3,20
CVE-2020-12529,918,3,20
CVE-2021-20280,79,0,9
CVE-2020-15809,22,3,17
CVE-2021-22179,918,3,20
CVE-2021-28918,704,3,24
CVE-2021-29357,918,3,20
CVE-2021-27905,918,3,20
CVE-2021-31779,918,3,20
CVE-2020-28943,918,3,20
CVE-2021-31828,918,3,20
CVE-2021-31910,918,3,20
CVE-2021-33510,918,3,20
CVE-2021-33511,918,3,20
CVE-2021-25640,918,3,20
CVE-2020-35970,918,3,20
CVE-2020-21788,918,3,20
CVE-2021-32639,918,3,20
CVE-2020-23079,918,3,20
CVE-2021-33213,918,4,20
CVE-2021-26699,918,3,20
CVE-2021-24371,918,4,20
CVE-2021-24472,918,3,20
CVE-2021-37353,918,3,20
CVE-2021-22255,918,4,20
CVE-2020-14160,918,3,20
CVE-2021-36043,918,0,20
CVE-2021-39497,918,0,20
CVE-2021-28910,918,4,20
CVE-2021-30137,611,3,0
CVE-2021-37419,918,3,20
CVE-2021-21993,918,3,20
CVE-2021-41586,918,3,20
CVE-2021-41587,918,3,20
CVE-2021-41385,918,3,20
CVE-2021-40103,22,3,17
CVE-2021-40109,918,4,20
CVE-2021-37223,918,4,20
CVE-2021-42091,918,3,20
CVE-2021-32663,918,2,20
CVE-2021-41792,918,0,20
CVE-2021-35512,918,3,20
CVE-2021-43562,918,3,20
CVE-2021-39303,918,3,20
CVE-2021-22969,918,2,20
CVE-2021-22970,918,2,20
CVE-2021-23718,918,3,20
CVE-2021-22049,918,4,20
CVE-2021-43296,918,3,20
CVE-2021-40091,918,3,20
CVE-2021-22054,918,3,20
CVE-2021-22056,918,3,20
CVE-2022-22702,918,3,20
CVE-2021-41809,918,3,20
CVE-2022-22993,918,1,20
CVE-2021-25939,918,4,20
CVE-2022-0671,918,0,20
CVE-2022-24980,918,3,20
CVE-2022-24333,918,0,20
CVE-2022-24739,601,3,15
CVE-2021-45968,918,1,20
CVE-2022-27245,918,3,20
CVE-2022-0591,918,3,20
CVE-2022-0136,918,0,20
CVE-2022-0249,918,0,20
CVE-2022-27907,918,3,20
CVE-2021-33581,918,3,20
CVE-2022-1191,918,3,20
CVE-2022-1188,918,0,20
CVE-2022-1213,918,3,20
CVE-2022-26499,918,4,20
CVE-2022-1037,918,0,20
CVE-2022-24862,918,3,20
CVE-2022-29556,918,4,20
CVE-2022-24449,611,3,0
CVE-2021-40822,918,3,20
CVE-2022-1239,918,3,20
CVE-2022-29942,918,4,20
CVE-2022-1398,918,0,20
CVE-2022-1713,918,3,20
CVE-2022-1722,918,4,20
CVE-2021-40186,918,4,20
CVE-2022-24969,918,3,20
CVE-2022-28217,918,3,20
CVE-2021-36761,918,3,20
CVE-2022-1977,918,0,20
CVE-2022-32533,79,3,9
CVE-2022-2339,918,4,20
CVE-2022-25800,918,3,20
CVE-2022-25801,918,3,20
CVE-2022-32457,918,4,20
CVE-2022-35651,79,0,9
CVE-2022-24406,330,4,23
CVE-2022-35949,918,4,20
CVE-2022-35583,918,4,20
CVE-2022-31196,918,4,20
CVE-2022-36663,918,0,20
CVE-2022-36112,918,2,20
CVE-2022-2352,918,0,20
CVE-2022-36551,918,3,20
CVE-2022-39055,918,4,20
CVE-2022-3247,918,3,20
CVE-2022-39276,918,3,20
CVE-2022-26088,79,3,9
CVE-2022-41906,918,3,20
CVE-2022-39383,918,0,20
CVE-2022-45152,918,0,20
CVE-2022-35508,918,3,20
CVE-2022-46827,611,3,0
CVE-2022-46364,918,3,20
CVE-2022-3590,367,4,2
CVE-2022-37313,918,2,20
CVE-2022-3841,918,3,20
CVE-2023-20002,918,3,20
CVE-2021-37498,918,3,20
CVE-2023-23560,918,3,20
CVE-2022-4335,918,0,20
CVE-2022-4201,918,0,20
CVE-2023-24622,918,3,20
CVE-2023-24623,918,4,20
CVE-2022-47873,611,3,0
CVE-2022-37033,918,3,20
CVE-2023-25162,918,4,20
CVE-2021-36396,918,0,20
CVE-2023-28155,918,3,20
CVE-2023-28112,918,3,20
CVE-2022-43473,611,0,0
CVE-2022-43698,918,3,20
CVE-2022-43699,918,2,20
CVE-2022-48477,918,3,20
CVE-2023-33184,918,0,20
CVE-2023-32750,918,3,20
CVE-2023-35133,918,3,20
CVE-2023-36661,918,3,20
CVE-2021-42079,918,3,20
CVE-2023-3577,918,4,20
CVE-2023-38490,611,4,0
CVE-2023-40033,918,0,20
CVE-2023-40743,20,3,10
CVE-2023-36388,918,3,20
CVE-2023-42439,918,4,20
CVE-2023-44384,691,3,7
CVE-2023-39854,918,3,20
CVE-2023-45152,918,4,20
CVE-2023-46229,918,4,20
CVE-2023-25753,918,3,20
CVE-2023-32786,74,3,21
CVE-2023-46725,918,4,20
CVE-2023-4769,918,3,20
CVE-2023-6199,918,3,20
CVE-2023-48306,918,2,20
CVE-2023-48307,918,1,20
CVE-2023-48023,918,3,20
CVE-2023-49735,22,2,17
CVE-2023-46736,918,4,20
CVE-2023-48379,918,4,20
CVE-2023-50968,200,3,18
CVE-2023-7080,269,1,5
CVE-2023-51441,918,3,20
CVE-2023-6991,918,3,20
CVE-2024-23644,113,3,13
CVE-2024-22648,918,0,20
CVE-2023-47116,918,4,20
CVE-2023-6388,918,3,20
CVE-2024-24806,918,4,20
CVE-2023-42282,918,3,20
CVE-2024-24829,918,4,20
CVE-2023-6294,22,3,17
CVE-2023-5122,918,3,20
CVE-2024-23654,918,3,20
CVE-2024-22243,601,3,15
CVE-2022-34269,918,4,20
CVE-2024-0403,918,3,20
CVE-2024-28198,611,3,0
CVE-2024-28752,918,3,20
CVE-2024-22259,601,3,15
CVE-2024-27098,918,3,20
CVE-2024-25294,918,3,20
CVE-2024-27927,918,4,20
CVE-2024-28435,918,3,20
CVE-2024-31215,918,4,20
CVE-2024-22262,601,3,15
CVE-2024-22329,918,3,20
CVE-2024-29028,918,4,20
CVE-2024-29030,918,4,20
CVE-2024-29029,79,4,9
CVE-2024-33449,352,3,8
CVE-2024-34453,918,3,20
CVE-2024-33864,918,3,20
CVE-2024-4561,918,0,20
CVE-2024-4562,918,3,20
CVE-2024-29415,918,4,20
CVE-2024-4084,918,4,20
CVE-2024-20404,918,3,20
CVE-2024-4851,918,4,20
CVE-2024-37164,918,4,20
CVE-2024-37818,918,3,20
CVE-2024-5015,918,3,20
CVE-2024-34580,918,3,20
CVE-2024-34581,918,3,20
CVE-2024-38514,918,3,20
CVE-2024-38472,918,3,20
CVE-2024-38476,829,3,11
CVE-2024-39573,20,3,10
CVE-2024-6524,918,3,20
CVE-2024-29319,918,2,20
CVE-2024-39699,918,4,20
CVE-2024-40632,918,4,20
CVE-2023-31456,918,4,20
CVE-2024-40898,918,3,20
CVE-2024-29736,918,3,20
CVE-2024-41664,918,0,20
CVE-2024-42352,918,4,20
CVE-2024-39338,918,3,20
CVE-2024-6586,201,3,12
CVE-2023-37229,918,3,20
CVE-2023-37230,918,3,20
CVE-2024-47049,22,3,17
CVE-2024-47222,918,1,20
CVE-2024-45843,918,4,20
CVE-2024-8977,918,3,20
CVE-2024-47167,918,4,20
CVE-2024-6763,1286,3,3
CVE-2024-45518,918,4,20
CVE-2024-51242,918,3,20
CVE-2024-21510,807,3,25
CVE-2024-51408,918,4,20
CVE-2024-20531,611,3,0
CVE-2024-46947,918,3,20
CVE-2024-47190,918,3,20
CVE-2024-11168,918,3,20
CVE-2021-3742,918,3,20
CVE-2021-3902,611,4,0
CVE-2024-52598,79,3,9
CVE-2024-32965,918,4,20
CVE-2024-35451,918,3,20
CVE-2023-50913,918,3,20
CVE-2024-9624,918,4,20
CVE-2024-52579,20,4,10
CVE-2024-35532,125,3,16
CVE-2024-6155,862,4,1
CVE-2024-55892,601,3,15
CVE-2025-23221,835,4,14
CVE-2024-45479,20,3,10
CVE-2025-25069,115,3,4
CVE-2025-22399,918,0,20
CVE-2025-25297,918,4,20
